genesofinterest;pathway
CACNA1A;CALCIUM
CACNA1B;CALCIUM
CACNA1C;CALCIUM
CACNA1D;CALCIUM
CACNA1E;CALCIUM
CACNA1H;CALCIUM
CACNA1I;CALCIUM
CACNA2D1;CALCIUM
CACNA2D2;CALCIUM
CACNA2D3;CALCIUM
CACNA2D4;CALCIUM
CACNB1;CALCIUM
CACNB2;CALCIUM
CACNB3;CALCIUM
CACNG2;CALCIUM
CACNG3;CALCIUM
CACNG4;CALCIUM
CACNG7;CALCIUM
CACNG8;CALCIUM
CACNB4;CALCIUM
ORAI1;CALCIUM
RYR1;CALCIUM
RYR2;CALCIUM
RYR3;CALCIUM
TPCN1;CALCIUM
TPCN2;CALCIUM
ORAI2;CALCIUM
ORAI3;CALCIUM
CASK;CALCIUM
GRIN1;CALCIUM
GRIN2A;CALCIUM
GRIN2B;CALCIUM
GRIN3A;CALCIUM
GRIN2D;CALCIUM
GRIN2C;CALCIUM
DAB1;REELIN
FYN;REELIN
ITGA3;REELIN
LRP8;REELIN
RELN;REELIN
SRC;REELIN
VLDLR;REELIN
APOE;REELIN
CRK;REELIN
NCK2;REELIN
RAP1A;REELIN
CUL5;REELIN
AKT1S1;mTOR
CACNA1G;CALCIUM
CACNA1S;CALCIUM
CACNG1;CALCIUM
CACNG5;CALCIUM
CACNG6;CALCIUM
CAMK2A;CALCIUM
CAMK2B;CALCIUM
CAMK2G;CALCIUM
CREBBP;OTHERS
DEPTOR;mTOR
DMD;OTHERS
EIF4E;mTOR
EIF4EBP1;mTOR
ITPR1;CALCIUM
ITPR2;CALCIUM
ITPR3;CALCIUM
MAPK1;OTHERS
MLST8;mTOR
MTOR;mTOR
NOTCH1;OTHERS
PAFAH1B1;REELIN
PDK1;OTHERS
PIK3CA;OTHERS
PRKAA1;OTHERS
PRKAA2;OTHERS
PRKAB1;OTHERS
PSEN1;OTHERS
PTEN;OTHERS
RAPGEF1;OTHERS
RHEB;mTOR
RPS6;OTHERS
RPS6KA1;mTOR
RPS6KA2;mTOR
RPS6KA3;mTOR
RPS6KB1;mTOR
RPTOR;mTOR
TBC1D7;OTHERS
TBR1;REELIN
TP73;OTHERS
TSC1;mTOR
TSC2;mTOR
